LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
8082,5001,3,1,11.741844307140965,2,19,0,2,1600000,4,0.0
8082,5001,2,2,12.04355959836804,2,55,0,2,1700000,1,13.49819642725446
8013,5001,5,2,13.327245193637944,2,31,1,2,2000000,1,14.866332532446323
8013,5088,2,1,12.039817332672941,2,21,0,2,2600000,1,14.866332532446323
8013,5001,2,2,12.120394924280792,2,34,2,2,1800000,4,0.0
699,68547,1,1,10.731755487016526,2,20,0,2,2600000,1,14.403297778421795
8082,5001,2,1,11.002116507732017,2,26,0,2,1800000,4,14.077875591662238
8082,5360,3,1,12.221099179546796,2,34,0,1,1350000,4,0.0
8082,5001,2,2,10.232683380186565,2,37,0,2,1400000,1,14.731801689838349
8013,5659,1,2,8.517393171418904,2,51,0,2,6000000,4,12.765691290604371
8013,5088,2,1,11.918397239722838,2,30,0,1,1700000,1,14.866332532446323
8013,5001,5,1,13.675482680231443,2,49,1,1,3500000,4,0.0
8013,5001,2,2,12.549382168829222,2,21,1,2,1450000,4,0.0
8082,5088,2,1,11.392451311502354,2,34,0,2,1400000,1,14.403297778421795
8013,5001,2,1,12.491563569167765,2,49,0,2,1450000,4,0.0
8082,5001,2,2,12.206077645517674,2,61,0,2,4200000,4,0.0
8013,5001,2,1,11.518480009883557,2,46,2,2,1700000,1,14.866332532446323
8013,5001,3,2,11.280160778611965,2,30,1,2,1600000,1,14.866332532446323
702,68276,1,1,11.209642326289796,2,37,1,2,2000000,4,0.0
8013,5895,1,2,8.517393171418904,2,40,1,2,1800000,1,14.866332532446323
8013,5665,1,1,12.130799379300345,2,27,0,2,800000,4,12.765691290604371
8013,5001,1,2,9.210440366976517,2,29,0,1,1850000,1,14.866332532446323
699,68307,1,2,12.015922525341635,2,64,0,1,2500000,1,14.285514812209815
8082,5001,2,2,12.206077645517674,2,55,0,2,1700000,1,14.062371417145494
8082,5001,3,1,12.611541086966115,2,22,0,2,1600000,4,0.0
8013,5001,3,2,12.206077645517674,2,38,0,2,1680000,4,0.0
8013,5001,3,2,13.19937256552952,2,41,2,1,3000000,1,14.866332532446323
8082,5001,2,2,12.429220196836383,2,20,0,2,1800000,1,14.077875591662238
8013,5001,2,1,13.294004770415176,2,34,1,2,1400000,4,0.0
699,68307,1,1,11.18795680773243,2,19,0,1,2000000,4,0.0
702,5615,2,1,12.01348860916971,2,48,0,2,1600000,1,14.062371417145494
8013,5837,1,2,11.331259693102327,2,46,1,1,2500000,1,14.866332532446323
8013,5172,1,2,12.57534046532645,2,40,0,2,2300000,4,0.0
8013,5045,3,1,12.524068089833165,2,27,0,2,1600000,1,14.866332532446323
8082,5001,3,2,12.793862088206213,2,39,0,1,1800000,1,14.403297778421795
8013,5001,2,2,13.290854736386049,2,22,0,2,2700000,4,0.0
8013,5837,1,1,12.399536067242973,2,28,0,1,1700000,1,14.866332532446323
25,17653,3,1,11.799561991028822,2,56,0,1,1500000,1,14.978661680269907
8082,5001,2,2,13.081837172467354,2,28,2,1,1300000,4,0.0
8013,5837,2,2,12.720858417547802,2,57,0,2,1300000,4,0.0
8013,5001,1,1,12.04355959836804,2,38,2,2,1400000,1,14.866332532446323
8013,5001,2,2,11.002116507732017,2,28,0,1,1960000,4,0.0
702,68001,3,2,10.308985993422082,2,33,0,1,1500000,4,0.0
8082,5001,2,2,10.684118914962527,2,65,0,1,1300000,1,14.062371417145494
8082,5001,2,2,12.273735966890268,2,44,2,2,1450000,1,14.403297778421795
8082,5001,2,2,12.301387370778713,2,71,0,2,1300000,1,14.731801689838349
8013,5147,2,1,12.332529069482733,2,40,1,1,1600000,1,14.866332532446323
8013,5001,1,2,10.334652895494106,2,33,1,2,1850000,4,0.0
8082,5001,3,2,12.611541086966115,2,24,1,2,1800000,1,15.319588176962746
8013,5001,2,2,11.96212671733667,2,20,1,1,1800000,1,14.866332532446323
8082,5001,3,1,11.211833885608513,2,27,0,1,1620000,4,0.0
8082,5001,2,2,12.611541086966115,2,20,0,2,2000000,1,14.914123179965662
8013,5837,1,1,14.510664224184843,2,33,0,1,1600000,4,12.765691290604371
