LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
699,68547,3,1,95522,2,29,0,2,2000000,4,0
702,68001,3,1,40000,2,47,0,2,2800000,4,0
8013,5001,2,1,692380,2,20,1,2,1900000,4,0
101,5059,3,1,2000000,2,60,0,1,2500000,1,4500000
8013,5001,2,1,614517,2,41,0,2,1300000,3,0
702,68001,3,1,4,2,29,0,1,1800000,4,0
702,5615,1,1,174893,2,51,0,1,1600000,1,1280000
8013,5045,1,2,2335116,2,47,1,1,2200000,4,0
8082,5001,2,2,130000,2,23,0,2,1500000,3,0
8013,5001,2,2,6000,2,41,1,2,1300000,3,0
8013,5172,1,1,98203,2,30,1,1,2500000,3,0
702,68307,3,1,20000,2,30,0,2,2400000,4,0
699,68573,1,1,137088,2,60,0,2,2800000,1,1280000
8013,5212,3,1,864140,2,40,1,1,1950000,1,2860000
8082,5001,2,2,200000,2,50,1,2,2500000,3,0
8013,5001,1,2,149225,2,60,0,2,1200000,3,0
702,68001,1,2,45000,2,65,0,2,1700000,1,1900000
8013,5001,2,1,288485,2,22,0,2,2200000,3,0
8013,5001,2,1,91352,2,36,1,2,1400000,3,0
8082,5001,1,2,100000,2,63,0,1,2400000,3,0
8082,5001,3,2,300000,2,52,0,2,5550000,3,0
8013,5001,1,2,68000,2,20,0,2,1500000,3,0
8082,5001,4,2,400000,2,36,2,1,3250000,4,0
8013,5837,1,2,10000,2,57,0,2,6000000,4,0
8082,5001,2,2,100000,2,60,1,2,1700000,4,0
8188,5001,2,2,193997,2,37,0,2,1300000,4,0
8013,5079,2,1,220000,2,61,0,2,2000000,3,0
8013,5147,1,2,4000,2,25,1,1,1700000,4,0
699,68001,2,1,142275,2,56,0,1,6000000,4,0
8013,5088,1,1,112172,2,29,1,1,1400000,4,0
702,68001,2,1,64548,2,27,0,2,2500000,4,0
8013,5172,1,2,5000,2,40,0,2,1400000,4,0
8013,5001,3,1,263556,2,28,0,1,1350000,4,0
